               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.087967,             0.01695,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.070084,            0.003324,            0.003324
                   1,            0.069403,            0.015557,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.039952,           0.0065255,           0.0065255
                   2,            0.067036,            0.015497,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0096882,           0.0095951,           0.0095951
                   3,            0.066667,            0.015497,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.009406,            0.009406,            0.009406
                   4,            0.065718,            0.015514,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.009406,            0.009406,            0.009406
                   5,            0.063699,            0.015529,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.009208,            0.009208,            0.009208
                   6,            0.062771,            0.015405,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,             0.00901,             0.00901,             0.00901
                   7,             0.06269,            0.015332,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.008812,            0.008812,            0.008812
                   8,            0.062109,            0.015411,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.008614,            0.008614,            0.008614
                   9,            0.060893,            0.015414,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.008416,            0.008416,            0.008416
                  10,            0.060818,            0.015233,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.008218,            0.008218,            0.008218
                  11,            0.060309,            0.015463,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,             0.00802,             0.00802,             0.00802
                  12,            0.060101,            0.015287,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.007822,            0.007822,            0.007822
                  13,            0.059723,            0.015392,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.007624,            0.007624,            0.007624
